,Abilities,Attack,Base EXP,Base Happiness,Catch rate,Defense,EV yield,Egg Groups,Egg cycles,Gender,Growth Rate,HP,Height,Japanese,Local №,National №,Sp. Atk,Sp. Def,Species,Speed,Type,Weight,desc,name
0,OvergrowChlorophyll (hidden ability),49,64,70 (normal),"45 (5.9% with PokBall, full HP)",49, 1 Special Attack," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,45,2′4″ (0.71m),Fushigidane,"001 (Red,Blue,Yellow,FireRed,LeafGreen)226 (Gold,Silver,Crystal)231 (HeartGold,SoulSilver)080 (X,Y)",001,65,65,Seed Pokmon,45, Grass Poison ,15.2 lbs (6.9 kg), Bulbasaur is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Seed Pokmon. ,Bulbasaur
1,OvergrowChlorophyll (hidden ability),62,141,70 (normal),"45 (5.9% with PokBall, full HP)",63," 1 Special Attack, 1 Special Defense"," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,60,3′3″ (0.99m),Fushigisou,"002 (Red,Blue,Yellow,FireRed,LeafGreen)227 (Gold,Silver,Crystal)232 (HeartGold,SoulSilver)081 (X,Y)",002,80,80,Seed Pokmon,60, Grass Poison ,28.7 lbs (13.0 kg), Ivysaur is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Seed Pokmon. ,Ivysaur
2,OvergrowChlorophyll (hidden ability),82,208,70 (normal),"45 (5.9% with PokBall, full HP)",83," 2 Special Attack, 1 Special Defense"," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,80,6′7″ (2.01m),Fushigibana,"003 (Red,Blue,Yellow,FireRed,LeafGreen)228 (Gold,Silver,Crystal)233 (HeartGold,SoulSilver)082 (X,Y)",003,100,100,Seed Pokmon,80, Grass Poison ,220.5 lbs (100.0 kg)," Venusaur is a Grass/Poison type Pokmon introduced in Generation 1. It is known as the Seed Pokmon. Venusaur has a Mega Evolution, available from X & Y onwards. ",Venusaur
3,BlazeSolar Power (hidden ability),52,65,70 (normal),"45 (5.9% with PokBall, full HP)",43, 1 Speed," Dragon, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,39,2′0″ (0.61m),Hitokage,"004 (Red,Blue,Yellow,FireRed,LeafGreen)229 (Gold,Silver,Crystal)234 (HeartGold,SoulSilver)083 (X,Y)",004,60,50,Lizard Pokmon,65, Fire ,18.7 lbs (8.5 kg), Charmander is a Fire type Pokmon introduced in Generation 1. It is known as the Lizard Pokmon. ,Charmander
4,BlazeSolar Power (hidden ability),64,142,70 (normal),"45 (5.9% with PokBall, full HP)",58," 1 Special Attack, 1 Speed"," Dragon, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,58,3′7″ (1.09m),Rizado,"005 (Red,Blue,Yellow,FireRed,LeafGreen)230 (Gold,Silver,Crystal)235 (HeartGold,SoulSilver)084 (X,Y)",005,80,65,Flame Pokmon,80, Fire ,41.9 lbs (19.0 kg), Charmeleon is a Fire type Pokmon introduced in Generation 1. It is known as the Flame Pokmon. ,Charmeleon
5,BlazeSolar Power (hidden ability),84,209,70 (normal),"45 (5.9% with PokBall, full HP)",78, 3 Special Attack," Dragon, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,78,5′7″ (1.70m),Rizadon,"006 (Red,Blue,Yellow,FireRed,LeafGreen)231 (Gold,Silver,Crystal)236 (HeartGold,SoulSilver)085 (X,Y)",006,109,85,Flame Pokmon,100, Fire Flying ,199.5 lbs (90.5 kg)," Charizard is a Fire/Flying type Pokmon introduced in Generation 1. It is known as the Flame Pokmon. Charizard has two Mega Evolutions, available from X & Y onwards. ",Charizard
6,TorrentRain Dish (hidden ability),48,66,70 (normal),"45 (5.9% with PokBall, full HP)",65, 1 Defense," Monster, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,44,1′8″ (0.51m),Zenigame,"007 (Red,Blue,Yellow,FireRed,LeafGreen)232 (Gold,Silver,Crystal)237 (HeartGold,SoulSilver)086 (X,Y)",007,50,64,Tiny Turtle Pokmon,43, Water ,19.8 lbs (9.0 kg), Squirtle is a Water type Pokmon introduced in Generation 1. It is known as the Tiny Turtle Pokmon. ,Squirtle
7,TorrentRain Dish (hidden ability),63,143,70 (normal),"45 (5.9% with PokBall, full HP)",80," 1 Defense, 1 Special Defense"," Monster, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,59,3′3″ (0.99m),Kameru,"008 (Red,Blue,Yellow,FireRed,LeafGreen)233 (Gold,Silver,Crystal)238 (HeartGold,SoulSilver)087 (X,Y)",008,65,80,Turtle Pokmon,58, Water ,49.6 lbs (22.5 kg), Wartortle is a Water type Pokmon introduced in Generation 1. It is known as the Turtle Pokmon. ,Wartortle
8,TorrentRain Dish (hidden ability),83,210,70 (normal),"45 (5.9% with PokBall, full HP)",100, 3 Special Defense," Monster, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,79,5′3″ (1.60m),Kamekkusu,"009 (Red,Blue,Yellow,FireRed,LeafGreen)234 (Gold,Silver,Crystal)239 (HeartGold,SoulSilver)088 (X,Y)",009,85,105,Shellfish Pokmon,78, Water ,188.5 lbs (85.5 kg)," Blastoise is a Water type Pokmon introduced in Generation 1. It is known as the Shellfish Pokmon. Blastoise has a Mega Evolution, available from X & Y onwards. ",Blastoise
9,Shield DustRun Away (hidden ability),30,53,70 (normal),"255 (33.3% with PokBall, full HP)",35, 1 HP, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,45,1′0″ (0.30m),Kyatapi,"010 (Red,Blue,Yellow,FireRed,LeafGreen)024 (Gold,Silver,Crystal)024 (HeartGold,SoulSilver)023 (X,Y)",010,20,20,Worm Pokmon,45, Bug ,6.4 lbs (2.9 kg), Caterpie is a Bug type Pokmon introduced in Generation 1. It is known as the Worm Pokmon. ,Caterpie
10,Shed Skin,20,72,70 (normal),"120 (15.7% with PokBall, full HP)",55, 2 Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,50,2′4″ (0.71m),Toranseru,"011 (Red,Blue,Yellow,FireRed,LeafGreen)025 (Gold,Silver,Crystal)025 (HeartGold,SoulSilver)024 (X,Y)",011,25,25,Cocoon Pokmon,30, Bug ,21.8 lbs (9.9 kg), Metapod is a Bug type Pokmon introduced in Generation 1. It is known as the Cocoon Pokmon. ,Metapod
11,Compound EyesTinted Lens (hidden ability),45,160,70 (normal),"45 (5.9% with PokBall, full HP)",50," 2 Special Attack, 1 Special Defense", Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,60,3′7″ (1.09m),Batafuri,"012 (Red,Blue,Yellow,FireRed,LeafGreen)026 (Gold,Silver,Crystal)026 (HeartGold,SoulSilver)025 (X,Y)",012,90,80,Butterfly Pokmon,70, Bug Flying ,70.5 lbs (32.0 kg), Butterfree is a Bug/Flying type Pokmon introduced in Generation 1. It is known as the Butterfly Pokmon. ,Butterfree
12,Shield DustRun Away (hidden ability),35,52,70 (normal),"255 (33.3% with PokBall, full HP)",30, 1 Speed, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,40,1′0″ (0.30m),Bidoru,"013 (Red,Blue,Yellow,FireRed,LeafGreen)027 (Gold,Silver,Crystal)027 (HeartGold,SoulSilver)026 (X,Y)",013,20,20,Hairy Bug Pokmon,50, Bug Poison ,7.1 lbs (3.2 kg), Weedle is a Bug/Poison type Pokmon introduced in Generation 1. It is known as the Hairy Bug Pokmon. ,Weedle
13,Shed Skin,25,71,70 (normal),"120 (15.7% with PokBall, full HP)",50, 2 Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,45,2′0″ (0.61m),Kokun,"014 (Red,Blue,Yellow,FireRed,LeafGreen)028 (Gold,Silver,Crystal)028 (HeartGold,SoulSilver)027 (X,Y)",014,25,25,Cocoon Pokmon,35, Bug Poison ,22 lbs (10.0 kg), Kakuna is a Bug/Poison type Pokmon introduced in Generation 1. It is known as the Cocoon Pokmon. ,Kakuna
