,name,desc
0,Netezza,IBMNetezza:high-performancedatawarehouseappliances
1,Accumulo,"ApacheAccumulo:distribuitedkey/valuestore,builton Hadoop"
2,Monet,MonetDB:columnstoredatabase
3,Proxy,ProxySQL:HighPerformanceProxyforMySQL
4,Level,LevelDB:afastkey-valuestoragelibrarywrittenatGooglethatprovidesanorderedmappingfromstringkeystostringvalues
5,Cosmos,MicrosoftCosmos:MicrosoftsinternalBigDataanalysisplatform
6,Memcache,MemcacheDB:adistributedkey-valuestoragesystemdesignedforpersistent
7,Stream,"MicrosoftAzureStreamAnalytics:aneventprocessingenginethathelpsuncoverreal-timeinsightsfromdevices,sensors,infrastructure,applicationsanddata"
8,Pigpen,NetflixPigPen:map-reduceforClojurewhichecompilestoApachePig
9,Zalonibedrock,ZaloniBedrock:fullyintegratedHadoopdatamanagementplatform
10,Peity,"Peity:ProgressiveSVGbar,lineandpiecharts"
11,Ayasdicore,AyasdiCore:toolfortopologicaldataanalysis
12,Squarecubism,"SquareCubism.js:aD3pluginforvisualizingtimeseries.UseCubismtoconstructbetterrealtimedashboards,pullingdatafromGraphite,Cubeandothersources"
13,Minotaur,Minotaur:scripts/recipes/configstospinupVPC-basedinfrastructureinAWSfromscratchanddeploylabstoit
14,Keylines,Keylines:toolkitforvisualizingthenetworksinyourdata
15,Unicorn,FacebookUnicorn:socialgraphsearchplatform
16,Akela,"Akela:MozillasutilitylibraryforHadoop,HBase,Pig,etc."
17,Openmpi,OpenMPI:messagepassingframework
18,Eureka,NetflixEureka:AWSServiceregistryforresilientmid-tierloadbalancingandfailover
19,Machinelearning,AmazonMachineLearning:visualizationtoolsandwizardsthatguideyouthroughtheprocessofcreatingmachinelearning(ML)modelswithouthavingtolearncomplexMLalgorithmsandtechnology
20,Aerospike,"Aerospike:NoSQLflash-optimized,in-memory.Opensourceand“Servercodein‘C(notJavaorErlang)preciselytunedtoavoidcontextswitchingandmemorycopies."
21,Bigtable,GoogleBigTable:column-orienteddistributeddatastore
22,Envisionjs,Envisionjs:dynamicHTML5visualization
23,Discoddfs,DiscoDDFS:distributedfilesystem
24,Hekaton,Hekaton:Refertolock-freearchitectureforSQLServer2014
25,Galera,"GaleraCluster:asynchronousmulti-masterclusterforMySQL,PerconaandMariaDB"
26,Cockroach,"Cockroach:Scalable,Geo-Replicated,TransactionalDatastore"
27,Arrow,ApacheArrow:PoweringColumnarIn-MemoryAnalytics
28,Genie,"Genie:GenieprovidesREST-fulAPIstorunHadoop,HiveandPigjobs,andtomanagemultipleHadoopresourcesandperformjobsubmissionsacrossthem."
29,Presto,FacebookPrestoDB:distributedSQLqueryengine
30,Concurrentcascading,ConcurrentCascading:frameworkfordatamanagement/analyticsonHadoop
31,Elasticsearch,ElasticSearch:SearchandanalyticsenginebasedonApache Lucene
32,Periscope,"Periscope:plugsdirectlyintoyourdatabasesandletsyourun,save,andshareanalysesoverbillionsofdatarowsinseconds"
33,Zillabyte,Zillabyte:anAPIfordistributeddatacomputation.Scalewithyourdata.
34,Torch,Torch:ScientificcomputingforLuaJIT
35,Ipython,IPython:providesaricharchitectureforinteractivecomputing
36,Crane,TwitterCrane:JavaETL
37,Atigeoxpatterns,AtigeoxPatterns:dataanalyticsplatform
38,Cratedata,CrateData:isanopensourcemassivelyscalabledatastore.Itrequireszeroadministration
39,Squarecube,SquareCube:systemforcollectingtimestampedeventsandderivingmetrics
40,Marconi,"Marconi:queuingandnotificationservicemadebyandforOpenStack,butnotonlyforit"
41,Neflixsimianarmy,NeflixSimianArmy:asuiteoftoolsforkeepingyourcloudoperatingintopform
